case_id,slide_id,label
GSE158937_16030X2,GSE158937_16030X2_Tumor_0,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_1,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_2,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_3,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_4,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_5,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_6,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_7,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_8,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_9,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_10,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_11,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_12,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_13,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_14,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_15,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_16,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_17,OV
GSE158937_16030X2,GSE158937_16030X2_Tumor_18,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_0,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_1,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_2,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_3,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_4,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_5,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_6,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_7,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_8,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_9,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_10,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_11,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_12,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_13,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_14,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_15,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_16,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_17,OV
GSE158937_16030X4,GSE158937_16030X4_Tumor_18,OV
GSE158937_16030X3,GSE158937_16030X3_Tumor_1,OV
rcc_GSE152938_GSM4630028_Patient_2,rcc_GSE152938_GSM4630028_Patient_2_Tumor_0,RCC
rcc_GSE152938_GSM4630028_Patient_2,rcc_GSE152938_GSM4630028_Patient_2_Tumor_1,RCC
rcc_GSE152938_GSM4630028_Patient_2,rcc_GSE152938_GSM4630028_Patient_2_Tumor_2,RCC
rcc_GSE152938_GSM4630028_Patient_2,rcc_GSE152938_GSM4630028_Patient_2_Tumor_3,RCC
rcc_GSE152938_GSM4630028_Patient_2,rcc_GSE152938_GSM4630028_Patient_2_Tumor_4,RCC
rcc_GSE152938_GSM4630028_Patient_2,rcc_GSE152938_GSM4630028_Patient_2_Tumor_5,RCC
rcc_GSE152938_GSM4630028_Patient_2,rcc_GSE152938_GSM4630028_Patient_2_Tumor_6,RCC
