case_id,slide_id,label
GSE158937_16030X2,GSE158937_16030X2_Tumor_0,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_1,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_2,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_3,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_4,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_5,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_6,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_7,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_8,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_9,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_10,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_11,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_12,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_13,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_14,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_15,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_16,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_17,tumor_tissue
GSE158937_16030X2,GSE158937_16030X2_Tumor_18,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_0,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_1,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_2,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_3,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_4,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_5,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_6,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_7,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_8,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_9,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_10,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_11,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_12,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_13,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_14,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_15,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_16,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_17,tumor_tissue
GSE158937_16030X4,GSE158937_16030X4_Tumor_18,tumor_tissue
GSE158937_16030X3,GSE158937_16030X3_Tumor_0,normal_tissue
GSE158937_16030X3,GSE158937_16030X3_Tumor_1,tumor_tissue
GSE158937_16030X3,GSE158937_16030X3_Tumor_2,normal_tissue
GSE158937_16030X3,GSE158937_16030X3_Tumor_3,normal_tissue
rcc_GSE152938_GSM4630027_Patient_1,rcc_GSE152938_GSM4630027_Patient_1_Tumor_0,normal_tissue
rcc_GSE152938_GSM4630027_Patient_1,rcc_GSE152938_GSM4630027_Patient_1_Tumor_1,normal_tissue
rcc_GSE152938_GSM4630027_Patient_1,rcc_GSE152938_GSM4630027_Patient_1_Tumor_2,normal_tissue
rcc_GSE152938_GSM4630027_Patient_1,rcc_GSE152938_GSM4630027_Patient_1_Tumor_3,normal_tissue
rcc_GSE152938_GSM4630027_Patient_1,rcc_GSE152938_GSM4630027_Patient_1_Tumor_4,normal_tissue
