Method,frac,acc,auc,f1
DEGAS,0.5,0.702,0.701,0.698
DEGAS,0.5,0.71,0.733,0.701
DEGAS,0.5,0.675,0.663,0.663
DEGAS,0.5,0.701,0.696,0.733
DEGAS,0.5,0.739,0.684,0.668
DEGAS,0.5,0.685,0.67,0.686
DEGAS,0.5,0.743,0.678,0.725
KIDA,0.5,0.729,0.759,0.733
KIDA,0.5,0.701,0.721,0.752
KIDA,0.5,0.739,0.755,0.729
KIDA,0.5,0.706,0.719,0.726
KIDA,0.5,0.734,0.707,0.735
KIDA,0.5,0.743,0.79,0.709
KIDA,0.5,0.739,0.738,0.735
scIDST,0.5,0.693,0.686,0.71
scIDST,0.5,0.648,0.704,0.695
scIDST,0.5,0.708,0.745,0.716
scIDST,0.5,0.643,0.662,0.693
scIDST,0.5,0.723,0.72,0.708
scIDST,0.5,0.721,0.662,0.704
scIDST,0.5,0.698,0.683,0.717
scVI+MIL,0.5,0.735,0.733,0.721
scVI+MIL,0.5,0.759,0.733,0.657
scVI+MIL,0.5,0.754,0.731,0.751
scVI+MIL,0.5,0.726,0.777,0.704
scVI+MIL,0.5,0.704,0.733,0.723
scVI+MIL,0.5,0.774,0.673,0.702
scVI+MIL,0.5,0.682,0.654,0.687
scTransMIL(FM),0.5,0.648,0.667,0.637
scTransMIL(FM),0.5,0.627,0.675,0.643
scTransMIL(FM),0.5,0.643,0.683,0.632
scTransMIL(FM),0.5,0.649,0.675,0.635
scTransMIL(FM),0.5,0.651,0.668,0.629
scTransMIL(FM),0.5,0.641,0.667,0.633
scTransMIL(FM),0.5,0.654,0.675,0.63
scTransMIL(PCA),0.5,0.703,0.69,0.686
scTransMIL(PCA),0.5,0.796,0.791,0.792
scTransMIL(PCA),0.5,0.758,0.747,0.746
scTransMIL(PCA),0.5,0.695,0.654,0.66
scTransMIL(PCA),0.5,0.762,0.739,0.743
scTransMIL(PCA),0.5,0.696,0.718,0.693
scTransMIL(PCA),0.5,0.751,0.751,0.738
scTransMIL,0.5,0.738,0.735,0.736
scTransMIL,0.5,0.727,0.729,0.756
scTransMIL,0.5,0.728,0.696,0.699
scTransMIL,0.5,0.751,0.743,0.717
scTransMIL,0.5,0.685,0.732,0.719
scTransMIL,0.5,0.749,0.728,0.713
scTransMIL,0.5,0.741,0.709,0.752
